,name,description
685,Ape Studios / HAL Laboratory,
686,Dry Cactus Limited,
687,Hothouse Creations,
688,BeamNG,
689,Monkey Bar Games,
690,Delphine Software International,
691,Trilobyte,
692,Sega Sports R&D,
693,Banpresto,
694,Telenet Japan / Wolteam,
695,Tequila Works,
696,20th Century Fox Video Games,
697,Novarama,
698,Marvelous Interactive,
699,Deibus Studios,
700,Messhof,
701,Shiro Games,
702,Silicon Knights,
703,Digital Illusions,
704,Williams Entertainment Inc.,
705,Realtime Associates,
706,Eurocom,
707,Idea Pad,
708,iNiS,
709,Men-A-Vision,
710,Nihilistic Software,
711,Eden Studios,
712,Polygon Magic,
713,Clever Endeavour Games,
714,David A. Palmer Productions,
715,"Tetris Online, Inc",
716,Piranha Games,
717,Dancing Dots,
718,Triumph Studios,
719,Disney Interactive,
720,Bright Light Productions,
721,Numantian Games,
722,Idol Minds,
723,Game Republic,
724,Fish Factory Games,
725,Planet Moon Studios,
726,Konami Digital Entertainment,
727,Le Cortex,
728,Dan Dixon,
729,Atari Games,
730,Propaganda Games,
731,Ganbarion,
732,Daedalic Entertainment,
733,Project ACES,
734,DECK13 Interactive,
735,Pacific Coast Power & Light,
736,Digital Extremes,
737,Brownie Brown,
738,"Human Soft, Inc.",
739,ImaginEngine Corp.,
740,Stern Electronics,
741,Neocore Games,
742,Takara,
743,Dearsoft,
744,Little Worlds Studio / Anuman Interactive,
745,Clever Beans / EPOS Game Studios,
746,"Mesa Logic, Inc.",
747,TheMeatly Games,
748,Realism Ltd,
749,DrinkBox Studios,
750,Kronos Digital Entertainment,
751,U-PLAY Studios,
752,Piranha Bytes,
753,Capcom Production Studio 2,
754,Jester Interactive,
755,Team Silent,
756,Equinoxe,
757,Quest Corporation,
758,Introversion,
759,Appaloosa Interactive,
760,Nerve Software,
761,Genius Sonority Inc./Eighting,
762,SourceNext,
763,Reality Pump,
764,Suspicious Developments,
765,Exient Entertainment,
766,RuneStorm,
767,Virtucraft,
768,Trion Worlds,
769,SIMS,
770,Luxoflux Corp.,
771,TT Games / Harmonix Music Systems,
772,A2M,
773,Tigervision,
774,Midway Studios Los Angeles,
775,Sanzaru Games,
776,Fuse Games Limited,
777,Engine Software,
778,Pyramid,
779,2K Czech,
780,Gaijin Entertainment,
781,7 Studios,
782,Black Isle Studios,
783,Zachtronics Industries,
784,Tomy,
785,Neverland Company,
786,Secret Level,
787,Relic,
788,11 bit studios,
789,Mistwalker Corporation / AQ Interactive,
790,Gray Matter Studios / Nerve Software,
791,Silver Dollar Games,
792,Grasshopper Manufacture,
793,Micro Cabin,
794,Playdead,
795,Imagineer,
796,Digital Embryo,
797,BioWare / Demiurge Studios,
798,Mattel,
799,IE Institute,
800,Cunning Developments,
801,Starbreeze,
802,Page 44,
803,cerasus.media GmbH,
804,Sega Studios Australia,
805,Gameloft,
806,Konami Computer Entertainment Osaka,
807,Contrail,
808,Saffire Corporation,
809,Suzak,
810,Krome Studios / Screenlife Games,
811,SNK Corporation,
812,Leaping Lizard Software Inc.,
813,Devils Details,
814,Gaijin Games Inc.,
815,SCEE London Studio / Zoe Mode,
816,ValuSoft,
817,Epicenter Studios,
818,GenePool,
819,Alfa System,
820,KCEA,
821,ACE Team,
822,SuperVillain Studios,
823,Adrenium Games,
824,Kalisto Entertainment,
825,Gaming Corps AB,
826,IllFonic,
827,Juice Games,
828,Sega Racing Studio,
829,Universal Gamex,
830,Clover Studio,
831,Magic Wand Productions,
832,Defiant Development,
833,"Sculptured Software, Inc.",
834,Paon Corporation,
835,"Paradigm Entertainment, Electronic Arts",
836,Lab Rats Games,
837,Wizard Video Games,
838,ASC Games,
839,Quadro Delta,
840,Infinity,
841,Microsoft Game Studios,
842,Vicious Cycle,
843,Cinegroupe,
844,Ascaron Entertainment,
845,Wish Studio,
846,Robomodo / Buzz Monkey Software,
847,Aardvark Software,
848,Amanita Design,
849,FUN Labs,
850,Ready at Dawn Studios,
851,ShadowRage,
852,Vanillaware,
853,AMA Studios,
854,Ghost Town Games,
855,Monster Games Inc.,
856,VU Games,
857,Shiver Games,
858,Black Mesa Team,
859,Rebellion Games,
860,Tikipod,
861,DotEmu,
862,Coleco,
863,Studio Pixel,
864,Holotech Studios,
865,ColdWood Interactive,
866,DONTNOD Entertainment,
867,UBIart Montpellier,
868,Spicy Horse,
869,Humongous Entertainment,
870,Incinerator Studios,
871,Gottlieb,
872,Pam Development,
873,Mike Bithell Games,
874,Overkill Software,
875,Team .366,
876,Namco Tales Studio / Wolfteam,
877,Neko Works,
878,Giant Squid Studios,
879,Nippon Ichi Software,
880,Midway Studios Austin,
881,Silicon Studio,
882,Fun Com,
883,Adrenalin Interactive,
884,Bunkasha Publishing,
885,Etranges Libellules,
886,Digital Eclipse Software,
887,Lion Shield,
888,Full-Fat,
889,Lapovich,
890,Marvelous Entertainment,
891,Collision Studios,
892,Digtal Illusions,
893,"Anchor, Inc.",
894,Racjin,
895,Shogakukan,
896,Digital Illusions (DICE),
897,Awesome Studios,
898,Nuevo Retro Games / NST,
899,Pipe Dream Interactive,
900,Game Arts,
901,Gaslamp Games,
902,Anchor,
903,Winky Soft,
904,Powerhead Games,
905,Deep Space,
906,inXile,
907,Inti Creates,
908,Bam Entertainment,
909,KillHouse Games,
910,Yager Development,
911,Smilebit,
912,Virtuos,
913,Dinosaur Polo Club,
914,Kadokawa Games,
915,Mastfire Studios Pty Ltd,
916,MicroProse,
917,Pixel Tales,
918,Cing,
