,name,description
774,Zenrin,
775,Perpetual,
776,Lionhead Studios,
777,FDG Entertainment,
778,IGS,
779,SCi,
780,Big Fish Games,
781,Oxygen Interactive,
782,Maximum Family Games,
783,Nobilis,
784,Fields,
785,Princess Soft,
786,Leadman Games,
787,Berkeley,
788,Fuji,
789,Her Interactive,
790,Mamba Games,
791,imageepoch Inc.,
792,Office Create,
793,UIG Entertainment,
794,3 O'Clock,
795,Kamui,
796,ASK,
797,49Games,
798,KSS,
799,KID,
800,Quinrose,
801,Modus Games,
802,Licensed 4U,
803,Stainless Games,
804,G.Rev,
805,Sweets,
806,Nexon,
807,BushiRoad,
808,Sting,
809,Tryfirst,
810,Mastertronic,
811,GN Software,
812,Russel,
813,Badland Studio,
814,Funcom,
815,Tulip Games,
816,Phantom 8 Studio,
817,Paon Corporation,
818,CK Games,
819,Kids Station,
820,Dispatch Games,
821,Inti Creates,
822,SystemSoft Alpha,
823,7G//AMES,
824,New World Computing,
825,Hoplite Research,
826,King Records,
827,honeybee,
828,Focus Multimedia,
829,Minato Station,
830,Enlight,
831,Graphsim Entertainment,
832,Gaga,
833,Yamasa Entertainment,
834,Plenty,
835,Blue Byte,
836,Views,
837,Entergram,
838,4-Aug,
839,fonfun,
840,HuneX,
841,Daedalic,
842,ReadySoft,
843,Starfish,
844,Quintet,
845,Dorart,
846,Piacci,
847,League of Geeks,
848,Turbine Inc.,
849,Imageworks,
850,Karin Entertainment,
851,Technos Japan Corporation,
852,Red Flagship,
853,Neko Entertainment,
854,Gakken,
855,Technical Associates Inc,
856,Mirai Shounen,
857,Arika,
858,Datam Polystar,
859,Rebellion,
860,Mediascape,
861,Giga,
862,Visco,
863,Revolution (Japan),
864,Obsidian Entertainment,
865,Monte Christo Multimedia,
866,Epic Games,
867,Alvion,
868,Mycom,
869,Warashi,
870,U&I Entertainment,
871,System Soft,
872,Villa Gorilla,
873,RED Entertainment,
874,Shin'en,
875,Global A Entertainment,
876,Michaelsoft,
877,Foreign Media Games,
878,Media Entertainment,
879,Lighthouse Interactive,
880,Genterprise,
881,Interplay Productions,
882,Easy Interactive,
883,Boost On,
884,Moss,
885,KING Art Games,
886,Harukaze,
887,Naxat Soft,
888,Paradox Development,
889,NetRevo,
890,Otomate,
891,Nitroplus,
892,El Dia,
893,Ongakukan,
894,M2,
895,Commseed,
896,Rejet,
897,iMel,
898,Takuyo,
899,Interchannel-Holon,
900,Matatabi,
901,ArenaNet,
902,Gadget Soft,
903,Tri Synergy,
904,Qute,
905,Wolfgame,
906,Triangle Service,
907,Otomate Idea Factory,
908,Studio Artdink,
909,Agatsuma Entertainment,
910,System Soft Alpha,
911,Best Media,
912,Assemble Entertainment,
913,RailSimulator.com,
914,MAGES,
915,Now Production,
916,Abel,
917,Silky`s,
918,Bergsala Lightweight,
919,TalonSoft,
920,Nippon Cultural Broadcasting eXtend,
921,Hiromi,
922,SystemSoft,
923,Dimple Entertainment,
924,Team Meat,
925,GMX Media,
926,Blade Interactive,
927,FireFly Studios,
928,Stack,
929,Recom,
930,Lexicon Entertainment,
931,Chara-ani,
932,King Games,
933,Tradewest,
934,MegaHouse,
935,Digital Works Entertainment,
936,Petit Reve,
937,DMM Games,
938,Rovio Mobile,
939,althi Inc.,
940,Virgin Play,
941,SilverStar,
942,United Developers,
943,Tera Box,
944,Mercury Games,
945,Virtual Playground,
946,GamersGate,
947,Focus,
948,MC2 Entertainment,
949,E-Frontier,
950,Alpha Unit,
951,Microforum,
952,Phenomedia,
953,Behaviour Interactive,
954,LSP Games,
955,Sandlot Games,
956,Noviy Disk,
957,Runic Games,
958,HD Interactive,
959,First Class Simulations,
960,Ides,
961,14 Degrees East,
962,EON Digital Entertainment,
963,Image Space Incorporated,
964,Artifex Mundi sp. z o.o.,
965,1C Maddox Games,
966,Fru Blu Games,
967,DTMC,
968,Sirtech,
969,Tubby Games,
970,Mindstorm Studios,
971,Illusion Softworks,
972,Freeze Tag,
973,Just Flight,
974,Nordcurrent,
975,Digital Jesters,
976,Summitsoft Entertainment,
977,Datel,
978,Numantian Games,
979,Land Ho,
980,GTE Entertainment,
981,Game Factory Interactive,
982,The Fullbright Company,
983,Spellbound,
984,Futurlab 1,
985,Elephant Entertainment,
986,Adventure Soft,
987,TopWare,
988,iEntertainment Network,
989,Bulkypix,
990,8Floor,
991,Spark Plug Games,
992,MY.COM,
993,Other Ocean Interactive,
